"Ημ/νία","Τελευταία","Άνοιγμα","Υψηλό","Χαμηλό","Όγκος","Αλλ.%"
"22.08.2025","177,99","172,61","178,59","171,20","172,79M","1,72%"
"25.08.2025","179,81","178,35","181,91","176,57","163,01M","1,02%"
"26.08.2025","181,77","180,05","182,39","178,81","168,69M","1,09%"
"27.08.2025","181,60","181,98","182,49","179,10","235,52M","-0,09%"
"28.08.2025","180,17","180,82","184,47","176,41","281,79M","-0,79%"
"29.08.2025","174,18","178,11","178,15","173,15","243,26M","-3,32%"
"02.09.2025","170,78","170,00","172,38","167,22","231,16M","-1,95%"
"03.09.2025","170,62","171,06","172,41","168,88","164,42M","-0,09%"
"04.09.2025","171,66","170,57","171,86","169,41","141,67M","0,61%"
"05.09.2025","167,02","168,03","169,03","164,07","224,44M","-2,70%"
"08.09.2025","168,31","167,55","170,96","167,35","163,77M","0,77%"
"09.09.2025","170,76","169,09","170,98","166,74","157,55M","1,46%"
"10.09.2025","177,33","176,64","179,29","175,47","226,85M","3,85%"
"11.09.2025","177,17","179,68","180,28","176,48","151,16M","-0,09%"
"12.09.2025","177,82","177,77","178,60","176,45","124,91M","0,37%"
"15.09.2025","177,75","175,67","178,85","174,51","147,06M","-0,04%"
"16.09.2025","174,88","177,00","177,50","174,38","140,74M","-1,61%"
"17.09.2025","170,29","172,64","173,20","168,41","211,84M","-2,62%"
"18.09.2025","176,24","173,98","177,10","172,96","191,76M","3,49%"
"19.09.2025","176,67","175,77","178,08","175,18","237,18M","0,24%"
"22.09.2025","183,61","175,30","184,55","174,71","269,64M","3,93%"
"23.09.2025","178,43","181,97","182,42","176,21","192,56M","-2,82%"
"24.09.2025","176,97","179,77","179,78","175,40","143,56M","-0,82%"
"25.09.2025","177,69","174,48","180,26","173,13","191,59M","0,41%"
"26.09.2025","178,19","178,17","179,77","174,93","148,57M","0,28%"
"29.09.2025","181,85","180,43","184,00","180,32","193,06M","2,05%"
"30.09.2025","186,58","182,08","187,35","181,48","236,98M","2,60%"
"01.10.2025","187,24","185,24","188,14","183,90","173,84M","0,35%"
"02.10.2025","188,89","189,60","191,05","188,06","136,81M","0,88%"
"03.10.2025","187,62","189,19","190,36","185,38","137,60M","-0,67%"
"06.10.2025","185,54","185,50","187,23","183,33","157,68M","-1,11%"
"07.10.2025","185,04","186,23","189,06","184,00","140,09M","-0,27%"
"08.10.2025","189,11","186,57","189,60","186,54","130,17M","2,20%"
"09.10.2025","192,57","192,23","195,30","191,06","183,00M","1,83%"
"10.10.2025","183,16","193,51","195,62","182,05","268,77M","-4,89%"
"13.10.2025","188,32","187,96","190,11","185,96","153,48M","2,82%"
"14.10.2025","180,03","184,77","184,80","179,70","205,64M","-4,40%"
"15.10.2025","179,83","184,80","184,87","177,29","214,45M","-0,11%"
"16.10.2025","181,81","182,23","183,28","179,77","179,72M","1,10%"
"17.10.2025","183,22","180,18","184,10","179,75","173,14M","0,78%"
"20.10.2025","182,64","183,13","185,20","181,73","128,54M","-0,32%"
"21.10.2025","181,16","182,79","182,79","179,80","124,24M","-0,81%"
"22.10.2025","180,28","181,14","183,44","176,76","162,25M","-0,49%"
"23.10.2025","182,16","180,42","183,03","179,79","111,36M","1,04%"
"24.10.2025","186,26","183,84","187,47","183,50","131,30M","2,25%"
"27.10.2025","191,49","189,99","192,00","188,43","153,45M","2,81%"
"28.10.2025","201,03","193,05","203,15","191,91","297,99M","4,98%"
"29.10.2025","207,04","207,98","212,19","204,77","308,83M","2,99%"
