"Ημ/νία","Τελευταία","Άνοιγμα","Υψηλό","Χαμηλό","Όγκος","Αλλ.%"
"14.05.2025","347,68","342,50","350,00","337,00","137,00M","4,07%"
"15.05.2025","342,82","340,34","346,14","334,72","97,88M","-1,40%"
"16.05.2025","349,98","346,24","351,62","342,33","95,90M","2,09%"
"19.05.2025","342,09","336,30","343,00","333,37","88,87M","-2,25%"
"20.05.2025","343,82","347,87","354,99","341,63","131,72M","0,51%"
"21.05.2025","334,62","344,43","347,35","332,20","102,35M","-2,68%"
"22.05.2025","341,04","331,90","347,27","331,39","97,11M","1,92%"
"23.05.2025","339,34","337,92","343,18","333,21","84,65M","-0,50%"
"27.05.2025","362,89","347,35","363,79","347,32","120,15M","6,94%"
"28.05.2025","356,90","364,84","365,00","355,91","91,40M","-1,65%"
"29.05.2025","358,43","365,29","367,71","356,00","88,55M","0,43%"
"30.05.2025","346,46","355,52","363,68","345,29","123,47M","-3,34%"
"02.06.2025","342,69","343,50","348,02","333,33","81,87M","-1,09%"
"03.06.2025","344,27","346,60","355,40","343,04","99,32M","0,46%"
"04.06.2025","332,05","345,10","345,60","327,33","98,91M","-3,55%"
"05.06.2025","284,70","322,49","324,55","273,21","292,82M","-14,26%"
"06.06.2025","295,14","298,83","305,50","291,14","164,75M","3,67%"
"09.06.2025","308,58","285,95","309,83","281,85","140,91M","4,55%"
"10.06.2025","326,09","314,94","327,83","310,67","151,26M","5,67%"
"11.06.2025","326,43","334,39","335,50","322,50","122,61M","0,10%"
"12.06.2025","319,11","323,08","332,56","316,86","105,13M","-2,24%"
"13.06.2025","325,31","313,97","332,99","313,30","128,96M","1,94%"
"16.06.2025","329,13","331,29","332,05","326,41","83,93M","1,17%"
"17.06.2025","316,35","326,09","327,26","314,74","88,28M","-3,88%"
"18.06.2025","322,05","317,31","329,32","315,45","95,14M","1,80%"
"20.06.2025","322,16","327,95","332,36","317,78","108,69M","0,03%"
"23.06.2025","348,68","327,54","357,54","327,48","190,72M","8,23%"
"24.06.2025","340,47","356,17","356,26","340,44","114,74M","-2,35%"
"25.06.2025","327,55","342,70","343,00","320,40","119,85M","-3,79%"
"26.06.2025","325,78","324,61","331,05","323,61","80,44M","-0,54%"
"27.06.2025","323,63","324,51","329,34","317,49","89,07M","-0,66%"
"30.06.2025","317,66","319,90","325,58","316,60","76,70M","-1,84%"
"01.07.2025","300,71","298,46","305,89","293,21","145,09M","-5,34%"
"02.07.2025","315,65","312,63","316,83","303,82","119,48M","4,97%"
"03.07.2025","315,35","317,99","318,45","312,76","58,04M","-0,10%"
"07.07.2025","293,94","291,37","296,15","288,77","131,18M","-6,79%"
"08.07.2025","297,81","297,00","304,05","294,35","103,25M","1,32%"
"09.07.2025","295,88","297,55","300,15","293,55","75,59M","-0,65%"
